Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,extra_yn,study_efficiency,practice_ratio,study_sleep_ratio,conditioned_study,focus_index,growth_potential,effort_result_ratio,learning_engagement,balance_score,prediction
3,72,Yes,9,2,1,24.0,0.6666666666666666,0.3333333333333333,12.476649250079015,1.5,0.041666666666666664,14.4,4.5,4.5,45.164417
6,87,No,7,1,0,14.5,0.16666666666666666,0.8571428571428571,13.621371043387192,6.0,0.06896551724137931,12.428571428571429,7.0,1.0,56.893497
2,92,Yes,5,9,1,46.0,4.5,0.4,5.493061443340547,1.0,0.021739130434782608,8.363636363636363,10.5,3.3333333333333335,59.89065
2,63,Yes,6,7,1,31.5,3.5,0.3333333333333333,6.591673732008657,1.0,0.031746031746031744,7.0,8.5,4.0,41.444923
4,65,No,4,4,0,16.25,1.0,1.0,6.437751649736401,4.0,0.06153846153846154,8.125,8.0,0.8,40.337704
1,86,No,5,4,0,86.0,4.0,0.2,3.4657359027997265,1.0,0.011627906976744186,17.2,5.0,2.5,77.413216
7,99,Yes,8,8,1,14.142857142857142,1.1428571428571428,0.875,16.635532333438686,3.5,0.0707070707070707,6.6,14.5,2.0,71.210686
4,41,No,7,4,0,10.25,1.0,0.5714285714285714,11.266065387038703,4.0,0.0975609756097561,5.125,8.0,1.4,39.40824
3,60,Yes,8,1,1,20.0,0.3333333333333333,0.375,11.090354888959125,1.5,0.05,15.0,3.5,4.0,41.989418
3,53,No,6,5,0,17.666666666666668,1.6666666666666667,0.5,8.317766166719343,3.0,0.05660377358490566,6.625,8.0,1.5,36.583687
1,81,Yes,6,7,1,81.0,7.0,0.16666666666666666,4.1588830833596715,0.5,0.012345679012345678,10.125,7.5,6.0,58.850193
2,83,Yes,9,1,1,41.5,0.5,0.2222222222222222,9.887510598012986,1.0,0.024096385542168676,27.666666666666668,2.5,6.0,45.700687
8,58,No,6,6,0,7.25,0.75,1.3333333333333333,13.183347464017316,8.0,0.13793103448275862,4.142857142857143,14.0,0.6666666666666666,63.525173
5,84,Yes,6,8,1,16.8,1.6,0.8333333333333334,10.75055681536833,2.5,0.05952380952380952,6.461538461538462,12.5,2.0,61.224636
2,52,Yes,8,9,1,26.0,4.5,0.25,8.788898309344876,1.0,0.038461538461538464,4.7272727272727275,10.5,5.333333333333333,27.892017
3,61,No,6,6,0,20.333333333333332,2.0,0.5,8.317766166719343,3.0,0.04918032786885246,6.777777777777778,9.0,1.5,39.732178
3,95,No,6,1,0,31.666666666666668,0.3333333333333333,0.5,8.317766166719343,3.0,0.031578947368421054,23.75,4.0,1.5,51.465645
7,83,Yes,5,6,1,11.857142857142858,0.8571428571428571,1.4,10.39720770839918,3.5,0.08433734939759036,6.384615384615385,12.5,1.25,63.630787
1,99,No,9,7,0,99.0,7.0,0.1111111111111111,6.238324625039508,1.0,0.010101010101010102,12.375,8.0,4.5,80.37685
9,74,Yes,7,9,1,8.222222222222221,1.0,1.2857142857142858,16.11809565095832,4.5,0.12162162162162163,4.111111111111111,17.5,1.4,72.966576
1,53,Yes,9,5,1,53.0,5.0,0.1111111111111111,6.238324625039508,0.5,0.018867924528301886,8.833333333333334,5.5,9.0,11.809596
6,52,Yes,7,5,1,8.666666666666666,0.8333333333333334,0.8571428571428571,13.621371043387192,3.0,0.11538461538461539,4.7272727272727275,10.5,2.0,56.340405
6,86,No,7,2,0,14.333333333333334,0.3333333333333333,0.8571428571428571,13.621371043387192,6.0,0.06976744186046512,10.75,8.0,1.0,57.537052
1,53,No,5,0,0,53.0,0.0,0.2,3.4657359027997265,1.0,0.018867924528301886,53.0,1.0,2.5,50.359783
2,90,No,8,1,0,45.0,0.5,0.25,8.788898309344876,2.0,0.022222222222222223,30.0,3.0,2.6666666666666665,56.81725
9,75,Yes,6,7,1,8.333333333333334,0.7777777777777778,1.5,13.815510557964275,4.5,0.12,4.6875,15.5,1.2,69.47902
6,40,Yes,4,9,1,6.666666666666667,1.5,1.5,7.783640596221253,3.0,0.15,2.6666666666666665,14.5,1.1428571428571428,55.261158
2,92,Yes,7,4,1,46.0,2.0,0.2857142857142857,7.690286020676767,1.0,0.021739130434782608,15.333333333333334,5.5,4.666666666666667,55.7749
8,50,Yes,4,5,1,6.25,0.625,2.0,8.788898309344878,4.0,0.16,3.8461538461538463,12.5,0.8888888888888888,58.868244
3,66,No,8,8,0,22.0,2.6666666666666665,0.375,11.090354888959125,3.0,0.045454545454545456,6.0,11.0,2.0,44.86939
9,61,Yes,9,9,1,6.777777777777778,1.0,1.0,20.723265836946414,4.5,0.14754098360655737,3.388888888888889,17.5,1.8,74.39533
9,85,Yes,7,6,1,9.444444444444445,0.6666666666666666,1.2857142857142858,16.11809565095832,4.5,0.10588235294117647,5.666666666666667,14.5,1.4,71.18931
9,88,Yes,8,5,1,9.777777777777779,0.5555555555555556,1.125,18.420680743952367,4.5,0.10227272727272728,6.285714285714286,13.5,1.6,72.03321
2,85,Yes,9,1,1,42.5,0.5,0.2222222222222222,9.887510598012986,1.0,0.023529411764705882,28.333333333333332,2.5,6.0,46.81458
8,49,No,5,6,0,6.125,0.75,1.6,10.986122886681098,8.0,0.16326530612244897,3.5,14.0,0.5555555555555556,59.654003
8,63,Yes,5,0,1,7.875,0.0,1.6,10.986122886681098,4.0,0.12698412698412698,7.875,7.5,1.1111111111111112,57.03835
4,48,Yes,9,6,1,12.0,1.5,0.4444444444444444,14.484941211906902,2.0,0.08333333333333333,4.8,9.5,3.6,45.915295
4,56,Yes,5,1,1,14.0,0.25,0.8,8.047189562170502,2.0,0.07142857142857142,11.2,4.5,2.0,47.299892
6,77,No,6,4,0,12.833333333333334,0.6666666666666666,1.0,11.675460894331879,6.0,0.07792207792207792,7.7,10.0,0.8571428571428571,55.13275
6,79,No,8,3,0,13.166666666666666,0.5,0.75,15.567281192442506,6.0,0.0759493670886076,8.777777777777779,9.0,1.1428571428571428,59.45857
6,76,Yes,5,7,1,12.666666666666666,1.1666666666666667,1.2,9.729550745276565,3.0,0.07894736842105263,5.846153846153846,12.5,1.4285714285714286,61.00883
7,45,No,8,4,0,6.428571428571429,0.5714285714285714,0.875,16.635532333438686,7.0,0.15555555555555556,4.090909090909091,11.0,1.0,59.518017
9,60,Yes,9,7,1,6.666666666666667,0.7777777777777778,1.0,20.723265836946414,4.5,0.15,3.75,15.5,1.8,72.1791
3,75,No,8,1,0,25.0,0.3333333333333333,0.375,11.090354888959125,3.0,0.04,18.75,4.0,2.0,46.96423
4,75,No,9,9,0,18.75,2.25,0.4444444444444444,14.484941211906902,4.0,0.05333333333333334,5.769230769230769,13.0,1.8,55.230473
8,64,No,5,7,0,8.0,0.875,1.6,10.986122886681098,8.0,0.125,4.266666666666667,15.0,0.5555555555555556,62.7345
7,50,No,7,7,0,7.142857142857143,1.0,1.0,14.55609079175885,7.0,0.14,3.5714285714285716,14.0,0.875,60.556683
3,84,No,6,6,0,28.0,2.0,0.5,8.317766166719343,3.0,0.03571428571428571,9.333333333333334,9.0,1.5,48.27198
3,87,Yes,8,5,1,29.0,1.6666666666666667,0.375,11.090354888959125,1.5,0.034482758620689655,10.875,7.5,4.0,52.726875
1,96,No,7,5,0,96.0,5.0,0.14285714285714285,4.852030263919617,1.0,0.010416666666666666,16.0,6.0,3.5,84.00674
4,75,Yes,9,7,1,18.75,1.75,0.4444444444444444,14.484941211906902,2.0,0.05333333333333334,6.818181818181818,10.5,3.6,53.93768
4,42,Yes,7,0,1,10.5,0.0,0.5714285714285714,11.266065387038703,2.0,0.09523809523809523,10.5,3.5,2.8,42.060062
2,48,No,7,1,0,24.0,0.5,0.2857142857142857,7.690286020676767,2.0,0.041666666666666664,16.0,3.0,2.3333333333333335,32.77136
4,47,No,6,0,0,11.75,0.0,0.6666666666666666,9.656627474604601,4.0,0.0851063829787234,11.75,4.0,1.2,37.146477
6,77,Yes,8,9,1,12.833333333333334,1.5,0.75,15.567281192442506,3.0,0.07792207792207792,5.133333333333334,14.5,2.2857142857142856,65.02117
7,43,Yes,9,2,1,6.142857142857143,0.2857142857142857,0.7777777777777778,18.71497387511852,3.5,0.16279069767441862,4.777777777777778,8.5,2.25,57.829456
5,81,Yes,5,3,1,16.2,0.6,1.0,8.958797346140274,2.5,0.06172839506172839,10.125,7.5,1.6666666666666667,56.806248
5,43,No,7,9,0,8.6,1.8,0.7142857142857143,12.542316284596385,5.0,0.11627906976744186,3.0714285714285716,14.0,1.1666666666666667,49.14756
8,83,No,9,5,0,10.375,0.625,0.8888888888888888,19.775021196025975,8.0,0.0963855421686747,6.384615384615385,13.0,1.0,73.86828
9,43,No,4,4,0,4.777777777777778,0.4444444444444444,2.25,9.210340371976184,9.0,0.20930232558139536,3.3076923076923075,13.0,0.4,59.354664
8,48,Yes,4,0,1,6.0,0.0,2.0,8.788898309344878,4.0,0.16666666666666666,6.0,7.5,0.8888888888888888,53.62993
4,51,Yes,9,0,1,12.75,0.0,0.4444444444444444,14.484941211906902,2.0,0.0784313725490196,12.75,3.5,3.6,43.728756
7,94,No,9,1,0,13.428571428571429,0.14285714285714285,0.7777777777777778,18.71497387511852,7.0,0.07446808510638298,11.75,8.0,1.125,67.07221
4,47,Yes,8,9,1,11.75,2.25,0.5,12.875503299472802,2.0,0.0851063829787234,3.6153846153846154,12.5,3.2,47.56659
4,59,Yes,8,2,1,14.75,0.5,0.5,12.875503299472802,2.0,0.06779661016949153,9.833333333333334,5.5,3.2,47.38263
9,78,Yes,6,7,1,8.666666666666666,0.7777777777777778,1.5,13.815510557964275,4.5,0.11538461538461539,4.875,15.5,1.2,69.85031
5,74,Yes,6,5,1,14.8,1.0,0.8333333333333334,10.75055681536833,2.5,0.06756756756756757,7.4,9.5,2.0,56.89993
1,88,Yes,4,5,1,88.0,5.0,0.25,2.772588722239781,0.5,0.011363636363636364,14.666666666666666,5.5,4.0,85.302605
8,96,Yes,5,9,1,12.0,1.125,1.6,10.986122886681098,4.0,0.08333333333333333,5.647058823529412,16.5,1.1111111111111112,70.56087
4,98,Yes,9,6,1,24.5,1.5,0.4444444444444444,14.484941211906902,2.0,0.04081632653061224,9.8,9.5,3.6,59.83888
2,95,No,4,2,0,47.5,1.0,0.5,4.394449154672438,2.0,0.021052631578947368,23.75,4.0,1.3333333333333333,56.511974
9,46,Yes,4,2,1,5.111111111111111,0.2222222222222222,2.25,9.210340371976184,4.5,0.1956521739130435,4.181818181818182,10.5,0.8,57.62099
5,70,No,4,4,0,14.0,0.8,1.25,7.16703787691222,5.0,0.07142857142857142,7.777777777777778,9.0,0.6666666666666666,45.060337
4,57,Yes,9,4,1,14.25,1.0,0.4444444444444444,14.484941211906902,2.0,0.07017543859649122,7.125,7.5,3.6,47.41421
7,53,No,6,8,0,7.571428571428571,1.1428571428571428,1.1666666666666667,12.476649250079014,7.0,0.1320754716981132,3.533333333333333,15.0,0.75,59.43266
3,78,Yes,6,9,1,26.0,3.0,0.5,8.317766166719343,1.5,0.038461538461538464,6.5,11.5,3.0,53.01503
5,98,Yes,8,7,1,19.6,1.4,0.625,14.33407575382444,2.5,0.05102040816326531,8.166666666666666,11.5,2.6666666666666665,64.154854
3,76,Yes,9,8,1,25.333333333333332,2.6666666666666665,0.3333333333333333,12.476649250079015,1.5,0.039473684210526314,6.909090909090909,10.5,4.5,47.71831
5,48,No,9,3,0,9.6,0.6,0.5555555555555556,16.125835223052494,5.0,0.10416666666666667,6.0,8.0,1.5,50.472412
8,59,No,4,9,0,7.375,1.125,2.0,8.788898309344878,8.0,0.13559322033898305,3.4705882352941178,17.0,0.4444444444444444,61.4042
9,96,No,6,8,0,10.666666666666666,0.8888888888888888,1.5,13.815510557964275,9.0,0.09375,5.647058823529412,17.0,0.6,75.47353
2,67,Yes,7,2,1,33.5,1.0,0.2857142857142857,7.690286020676767,1.0,0.029850746268656716,16.75,3.5,4.666666666666667,42.79722
7,92,No,9,1,0,13.142857142857142,0.14285714285714285,0.7777777777777778,18.71497387511852,7.0,0.07608695652173914,11.5,8.0,1.125,66.75396
6,66,Yes,6,3,1,11.0,0.5,1.0,11.675460894331879,3.0,0.09090909090909091,7.333333333333333,8.5,1.7142857142857142,56.558323
4,47,No,8,6,0,11.75,1.5,0.5,12.875503299472802,4.0,0.0851063829787234,4.7,10.0,1.6,44.004337
7,96,Yes,7,2,1,13.714285714285714,0.2857142857142857,1.0,14.55609079175885,3.5,0.07291666666666667,10.666666666666666,8.5,1.75,64.13686
8,71,No,9,6,0,8.875,0.75,0.8888888888888888,19.775021196025975,8.0,0.11267605633802817,5.071428571428571,14.0,1.0,73.18942
5,48,Yes,7,7,1,9.6,1.4,0.7142857142857143,12.542316284596385,2.5,0.10416666666666667,4.0,11.5,2.3333333333333335,52.760822
6,69,No,9,7,0,11.5,1.1666666666666667,0.6666666666666666,17.51319134149782,6.0,0.08695652173913043,5.3076923076923075,13.0,1.2857142857142858,63.310734
7,40,Yes,4,8,1,5.714285714285714,1.1428571428571428,1.75,8.317766166719343,3.5,0.175,2.6666666666666665,14.5,1.0,57.5696
1,44,No,8,6,0,44.0,6.0,0.125,5.545177444479562,1.0,0.022727272727272728,6.285714285714286,7.0,4.0,22.598846
8,74,Yes,5,6,1,9.25,0.75,1.6,10.986122886681098,4.0,0.10810810810810811,5.285714285714286,13.5,1.1111111111111112,64.52176
8,53,No,7,5,0,6.625,0.625,1.1428571428571428,15.380572041353537,8.0,0.1509433962264151,4.076923076923077,13.0,0.7777777777777778,64.45508
4,69,No,4,0,0,17.25,0.0,1.0,6.437751649736401,4.0,0.057971014492753624,17.25,4.0,0.8,39.436954
1,43,No,9,0,0,43.0,0.0,0.1111111111111111,6.238324625039508,1.0,0.023255813953488372,43.0,1.0,4.5,34.98267
1,46,Yes,5,5,1,46.0,5.0,0.2,3.4657359027997265,0.5,0.021739130434782608,7.666666666666667,5.5,5.0,31.617966
9,52,Yes,7,6,1,5.777777777777778,0.6666666666666666,1.2857142857142858,16.11809565095832,4.5,0.17307692307692307,3.466666666666667,14.5,1.4,67.10505
9,43,Yes,6,8,1,4.777777777777778,0.8888888888888888,1.5,13.815510557964275,4.5,0.20930232558139536,2.5294117647058822,16.5,1.2,66.56474
9,82,No,6,5,0,9.11111111111111,0.5555555555555556,1.5,13.815510557964275,9.0,0.10975609756097561,5.857142857142857,14.0,0.6,70.60214
2,75,No,6,0,0,37.5,0.0,0.3333333333333333,6.591673732008657,2.0,0.02666666666666667,37.5,2.0,2.0,47.627552
3,47,No,9,2,0,15.666666666666666,0.6666666666666666,0.3333333333333333,12.476649250079015,3.0,0.06382978723404255,9.4,5.0,2.25,38.208313
6,71,No,7,9,0,11.833333333333334,1.5,0.8571428571428571,13.621371043387192,6.0,0.08450704225352113,4.733333333333333,15.0,1.0,60.55673
2,81,No,7,2,0,40.5,1.0,0.2857142857142857,7.690286020676767,2.0,0.024691358024691357,20.25,4.0,2.3333333333333335,50.677532
7,65,No,8,0,0,9.285714285714286,0.0,0.875,16.635532333438686,7.0,0.1076923076923077,9.285714285714286,7.0,1.0,59.011707
5,81,Yes,5,1,1,16.2,0.2,1.0,8.958797346140274,2.5,0.06172839506172839,13.5,5.5,1.6666666666666667,55.408283
3,86,Yes,6,9,1,28.666666666666668,3.0,0.5,8.317766166719343,1.5,0.03488372093023256,7.166666666666667,11.5,3.0,55.9854
9,57,Yes,8,7,1,6.333333333333333,0.7777777777777778,1.125,18.420680743952367,4.5,0.15789473684210525,3.5625,15.5,1.6,70.28895
3,97,No,7,9,0,32.333333333333336,3.0,0.42857142857142855,9.704060527839234,3.0,0.030927835051546393,8.083333333333334,12.0,1.75,55.095425
5,83,Yes,7,0,1,16.6,0.0,0.7142857142857143,12.542316284596385,2.5,0.060240963855421686,16.6,4.5,2.3333333333333335,55.66515
8,96,No,9,5,0,12.0,0.625,0.8888888888888888,19.775021196025975,8.0,0.08333333333333333,7.384615384615385,13.0,1.0,75.67835
6,40,Yes,6,2,1,6.666666666666667,0.3333333333333333,1.0,11.675460894331879,3.0,0.15,5.0,7.5,1.7142857142857142,50.902287
5,87,Yes,9,5,1,17.4,1.0,0.5555555555555556,16.125835223052494,2.5,0.05747126436781609,8.7,9.5,3.0,60.561497
4,67,No,7,3,0,16.75,0.75,0.5714285714285714,11.266065387038703,4.0,0.05970149253731343,9.571428571428571,7.0,1.4,46.14485
6,44,Yes,5,6,1,7.333333333333333,1.0,1.2,9.729550745276565,3.0,0.13636363636363635,3.6666666666666665,11.5,1.4285714285714286,54.23892
4,40,Yes,6,6,1,10.0,1.5,0.6666666666666666,9.656627474604601,2.0,0.1,4.0,9.5,2.4,44.943867
4,97,Yes,8,0,1,24.25,0.0,0.5,12.875503299472802,2.0,0.041237113402061855,24.25,3.5,3.2,56.957226
2,92,No,4,1,0,46.0,0.5,0.5,4.394449154672438,2.0,0.021739130434782608,30.666666666666668,3.0,1.3333333333333333,55.314114
9,92,Yes,7,3,1,10.222222222222221,0.3333333333333333,1.2857142857142858,16.11809565095832,4.5,0.09782608695652174,7.666666666666667,11.5,1.4,68.91697
7,94,No,5,5,0,13.428571428571429,0.7142857142857143,1.4,10.39720770839918,7.0,0.07446808510638298,7.833333333333333,12.0,0.625,60.666622
7,65,Yes,7,0,1,9.285714285714286,0.0,1.0,14.55609079175885,3.5,0.1076923076923077,9.285714285714286,6.5,1.75,57.359524
8,46,No,9,5,0,5.75,0.625,0.8888888888888888,19.775021196025975,8.0,0.17391304347826086,3.5384615384615383,13.0,1.0,68.71656
8,94,Yes,6,4,1,11.75,0.5,1.3333333333333333,13.183347464017316,4.0,0.0851063829787234,7.833333333333333,11.5,1.3333333333333333,66.6424
4,91,No,9,7,0,22.75,1.75,0.4444444444444444,14.484941211906902,4.0,0.04395604395604396,8.272727272727273,11.0,1.8,58.6787
7,65,No,5,8,0,9.285714285714286,1.1428571428571428,1.4,10.39720770839918,7.0,0.1076923076923077,4.333333333333333,15.0,0.625,58.818577
4,53,Yes,5,4,1,13.25,1.0,0.8,8.047189562170502,2.0,0.07547169811320754,6.625,7.5,2.0,47.97546
7,47,No,8,5,0,6.714285714285714,0.7142857142857143,0.875,16.635532333438686,7.0,0.14893617021276595,3.9166666666666665,12.0,1.0,60.758488
1,67,No,4,6,0,67.0,6.0,0.25,2.772588722239781,1.0,0.014925373134328358,9.571428571428571,7.0,2.0,52.456493
1,96,No,8,7,0,96.0,7.0,0.125,5.545177444479562,1.0,0.010416666666666666,12.0,8.0,4.0,78.09475
6,58,Yes,4,8,1,9.666666666666666,1.3333333333333333,1.5,7.783640596221253,3.0,0.10344827586206896,4.142857142857143,13.5,1.1428571428571428,57.77361
3,71,Yes,4,5,1,23.666666666666668,1.6666666666666667,0.75,5.545177444479562,1.5,0.04225352112676056,8.875,7.5,2.0,52.6208
2,62,Yes,9,4,1,31.0,2.0,0.2222222222222222,9.887510598012986,1.0,0.03225806451612903,10.333333333333334,5.5,6.0,32.585987
1,56,No,6,2,0,56.0,2.0,0.16666666666666666,4.1588830833596715,1.0,0.017857142857142856,18.666666666666668,3.0,3.0,47.78946
3,77,No,5,4,0,25.666666666666668,1.3333333333333333,0.6,6.931471805599453,3.0,0.03896103896103896,11.0,7.0,1.25,43.85441
4,61,Yes,7,5,1,15.25,1.25,0.5714285714285714,11.266065387038703,2.0,0.06557377049180328,6.777777777777778,8.5,2.8,49.869312
7,87,No,7,8,0,12.428571428571429,1.1428571428571428,1.0,14.55609079175885,7.0,0.08045977011494253,5.8,15.0,0.875,67.36658
8,90,Yes,7,2,1,11.25,0.25,1.1428571428571428,15.380572041353537,4.0,0.08888888888888889,9.0,9.5,1.5555555555555556,65.421394
1,52,Yes,7,0,1,52.0,0.0,0.14285714285714285,4.852030263919617,0.5,0.019230769230769232,52.0,0.5,7.0,36.62956
9,91,Yes,7,1,1,10.11111111111111,0.1111111111111111,1.2857142857142858,16.11809565095832,4.5,0.0989010989010989,9.1,9.5,1.4,66.70075
6,62,Yes,9,2,1,10.333333333333334,0.3333333333333333,0.6666666666666666,17.51319134149782,3.0,0.0967741935483871,7.75,7.5,2.5714285714285716,57.154804
7,51,Yes,5,0,1,7.285714285714286,0.0,1.4,10.39720770839918,3.5,0.13725490196078433,7.285714285714286,6.5,1.25,53.005447
2,57,No,6,2,0,28.5,1.0,0.3333333333333333,6.591673732008657,2.0,0.03508771929824561,14.25,4.0,2.0,36.656635
6,97,No,9,3,0,16.166666666666668,0.5,0.6666666666666666,17.51319134149782,6.0,0.061855670103092786,10.777777777777779,9.0,1.2857142857142858,65.19208
2,53,No,5,2,0,26.5,1.0,0.4,5.493061443340547,2.0,0.03773584905660377,13.25,4.0,1.6666666666666667,33.7746
6,97,Yes,9,7,1,16.166666666666668,1.1666666666666667,0.6666666666666666,17.51319134149782,3.0,0.061855670103092786,7.461538461538462,12.5,2.5714285714285716,67.79848
9,77,No,9,0,0,8.555555555555555,0.0,1.0,20.723265836946414,9.0,0.11688311688311688,8.555555555555555,9.0,0.9,72.813835
9,97,Yes,4,0,1,10.777777777777779,0.0,2.25,9.210340371976184,4.5,0.09278350515463918,10.777777777777779,8.5,0.8,61.840565
7,96,Yes,9,1,1,13.714285714285714,0.14285714285714285,0.7777777777777778,18.71497387511852,3.5,0.07291666666666667,12.0,7.5,2.25,65.34097
8,91,Yes,7,2,1,11.375,0.25,1.1428571428571428,15.380572041353537,4.0,0.08791208791208792,9.1,9.5,1.5555555555555556,65.56063
7,71,No,9,4,0,10.142857142857142,0.5714285714285714,0.7777777777777778,18.71497387511852,7.0,0.09859154929577464,6.454545454545454,11.0,1.125,66.178925
9,96,No,6,9,0,10.666666666666666,1.0,1.5,13.815510557964275,9.0,0.09375,5.333333333333333,18.0,0.6,76.519775
4,73,Yes,4,3,1,18.25,0.75,1.0,6.437751649736401,2.0,0.0547945205479452,10.428571428571429,6.5,1.6,53.46002
6,53,No,9,2,0,8.833333333333334,0.3333333333333333,0.6666666666666666,17.51319134149782,6.0,0.11320754716981132,6.625,8.0,1.2857142857142858,56.194378
2,83,Yes,4,1,1,41.5,0.5,0.5,4.394449154672438,1.0,0.024096385542168676,27.666666666666668,2.5,2.6666666666666665,61.902187
8,56,No,9,3,0,7.0,0.375,0.8888888888888888,19.775021196025975,8.0,0.14285714285714285,5.090909090909091,11.0,1.0,68.12498
5,54,Yes,9,9,1,10.8,1.8,0.5555555555555556,16.125835223052494,2.5,0.09259259259259259,3.857142857142857,13.5,3.0,56.00577
2,71,Yes,8,8,1,35.5,4.0,0.25,8.788898309344876,1.0,0.028169014084507043,7.1,9.5,5.333333333333333,38.946903
4,52,Yes,5,1,1,13.0,0.25,0.8,8.047189562170502,2.0,0.07692307692307693,10.4,4.5,2.0,46.186016
1,60,Yes,7,8,1,60.0,8.0,0.14285714285714285,4.852030263919617,0.5,0.016666666666666666,6.666666666666667,8.5,7.0,26.130962
2,79,Yes,7,9,1,39.5,4.5,0.2857142857142857,7.690286020676767,1.0,0.02531645569620253,7.181818181818182,10.5,4.666666666666667,46.169792
9,96,Yes,8,9,1,10.666666666666666,1.0,1.125,18.420680743952367,4.5,0.09375,5.333333333333333,17.5,1.6,77.20826
9,55,No,7,7,0,6.111111111111111,0.7777777777777778,1.2857142857142858,16.11809565095832,9.0,0.16363636363636364,3.4375,16.0,0.7,72.04016
7,70,Yes,9,6,1,10.0,0.8571428571428571,0.7777777777777778,18.71497387511852,3.5,0.1,5.384615384615385,12.5,2.25,65.81473
6,75,Yes,4,1,1,12.5,0.16666666666666666,1.5,7.783640596221253,3.0,0.08,10.714285714285714,6.5,1.1428571428571428,55.125233
6,99,Yes,6,4,1,16.5,0.6666666666666666,1.0,11.675460894331879,3.0,0.06060606060606061,9.9,9.5,1.7142857142857142,63.513905
7,84,No,7,0,0,12.0,0.0,1.0,14.55609079175885,7.0,0.08333333333333333,12.0,7.0,0.875,59.51151
3,51,Yes,7,6,1,17.0,2.0,0.42857142857142855,9.704060527839234,1.5,0.058823529411764705,5.666666666666667,8.5,3.5,40.997005
2,95,Yes,9,7,1,47.5,3.5,0.2222222222222222,9.887510598012986,1.0,0.021052631578947368,10.555555555555555,8.5,6.0,49.546223
4,43,No,7,1,0,10.75,0.25,0.5714285714285714,11.266065387038703,4.0,0.09302325581395349,8.6,5.0,1.4,38.4542
9,67,Yes,7,1,1,7.444444444444445,0.1111111111111111,1.2857142857142858,16.11809565095832,4.5,0.13432835820895522,6.7,9.5,1.4,63.730404
4,81,No,7,5,0,20.25,1.25,0.5714285714285714,11.266065387038703,4.0,0.04938271604938271,9.0,9.0,1.4,51.050774
3,49,No,9,5,0,16.333333333333332,1.6666666666666667,0.3333333333333333,12.476649250079015,3.0,0.061224489795918366,6.125,8.0,2.25,39.48526
2,80,Yes,7,2,1,40.0,1.0,0.2857142857142857,7.690286020676767,1.0,0.025,20.0,3.5,4.666666666666667,50.037483
9,88,No,5,6,0,9.777777777777779,0.6666666666666666,1.8,11.51292546497023,9.0,0.10227272727272728,5.866666666666666,15.0,0.5,69.70376
3,41,No,6,5,0,13.666666666666666,1.6666666666666667,0.5,8.317766166719343,3.0,0.07317073170731707,5.125,8.0,1.5,32.128143
3,67,No,4,3,0,22.333333333333332,1.0,0.75,5.545177444479562,3.0,0.04477611940298507,11.166666666666666,6.0,1.0,38.501095
1,92,Yes,4,6,1,92.0,6.0,0.25,2.772588722239781,0.5,0.010869565217391304,13.142857142857142,6.5,4.0,87.33195
4,50,No,5,6,0,12.5,1.5,0.8,8.047189562170502,4.0,0.08,5.0,10.0,1.0,39.085903
6,98,No,8,2,0,16.333333333333332,0.3333333333333333,0.75,15.567281192442506,6.0,0.061224489795918366,12.25,8.0,1.1428571428571428,62.15668
7,41,Yes,6,8,1,5.857142857142857,1.1428571428571428,1.1666666666666667,12.476649250079014,3.5,0.17073170731707318,2.7333333333333334,14.5,1.5,59.855038
4,80,Yes,9,8,1,20.0,2.0,0.4444444444444444,14.484941211906902,2.0,0.05,6.666666666666667,11.5,3.6,55.833706
7,73,Yes,4,2,1,10.428571428571429,0.2857142857142857,1.75,8.317766166719343,3.5,0.0958904109589041,8.11111111111111,8.5,1.0,57.287525
5,92,Yes,4,6,1,18.4,1.2,1.25,7.16703787691222,2.5,0.05434782608695652,8.363636363636363,10.5,1.3333333333333333,61.098583
7,61,No,5,0,0,8.714285714285714,0.0,1.4,10.39720770839918,7.0,0.11475409836065574,8.714285714285714,7.0,0.625,50.80439
5,62,Yes,6,1,1,12.4,0.2,0.8333333333333334,10.75055681536833,2.5,0.08064516129032258,10.333333333333334,5.5,2.0,51.43066
6,58,Yes,8,1,1,9.666666666666666,0.16666666666666666,0.75,15.567281192442506,3.0,0.10344827586206896,8.285714285714286,6.5,2.2857142857142856,54.86026
5,87,Yes,6,3,1,17.4,0.6,0.8333333333333334,10.75055681536833,2.5,0.05747126436781609,10.875,7.5,2.0,58.398067
5,71,Yes,4,5,1,14.2,1.0,1.25,7.16703787691222,2.5,0.07042253521126761,7.1,9.5,1.3333333333333333,55.721294
4,86,No,7,3,0,21.5,0.75,0.5714285714285714,11.266065387038703,4.0,0.046511627906976744,12.285714285714286,7.0,1.4,51.435814
5,78,Yes,7,4,1,15.6,0.8,0.7142857142857143,12.542316284596385,2.5,0.0641025641025641,8.666666666666666,8.5,2.3333333333333335,57.347202
4,96,Yes,8,0,1,24.0,0.0,0.5,12.875503299472802,2.0,0.041666666666666664,24.0,3.5,3.2,56.67877
7,74,Yes,5,2,1,10.571428571428571,0.2857142857142857,1.4,10.39720770839918,3.5,0.0945945945945946,8.222222222222221,8.5,1.25,58.5098
6,53,No,5,6,0,8.833333333333334,1.0,1.2,9.729550745276565,6.0,0.11320754716981132,4.416666666666667,12.0,0.7142857142857143,49.943768
